name,stars_count,forks_count,watchers,pull_requests,primary_language,languages_used,commit_count,created_at,licence
monolog,20122,1844,316,1027,PHP,['PHP'],2665.0,2011-02-17T02:07:15Z,MIT License
refined-github,20120,1380,213,2912,TypeScript,"['TypeScript', 'CSS', 'Swift', 'HTML', 'Shell', 'JavaScript']",3264.0,2016-02-15T16:45:02Z,MIT License
mediapipe,20084,4214,498,240,C++,"['C++', 'Starlark', 'Python', 'Java', 'TypeScript', 'Objective-C', 'Objective-C++', 'C', 'Shell', 'Swift']",954.0,2019-06-13T19:16:41Z,Apache License 2.0
ChromeAppHeroes,20072,2224,634,27,JavaScript,"['JavaScript', 'CSS', 'HTML', 'Python']",793.0,2019-02-07T06:35:24Z,GNU General Public License v3.0
chinese-independent-developer,20072,1881,994,155,,,913.0,2017-09-21T11:08:23Z,
GPUImage,20040,4642,744,447,Objective-C,"['Objective-C', 'Ruby', 'Shell', 'C']",1082.0,2012-02-13T15:20:02Z,"BSD 3-Clause ""New"" or ""Revised"" License"
javascript-testing-best-practices,20033,1770,304,183,JavaScript,['JavaScript'],1009.0,2019-07-04T11:08:12Z,MIT License
CyberChef,20017,2361,361,583,JavaScript,"['JavaScript', 'CSS', 'HTML']",3444.0,2016-11-28T10:34:07Z,Apache License 2.0
winston,20005,1741,223,899,JavaScript,"['JavaScript', 'TypeScript']",1510.0,2010-12-29T18:49:51Z,MIT License
lux,20001,2393,351,285,Go,"['Go', 'JavaScript']",765.0,2018-02-24T11:29:03Z,MIT License
leetcode,19984,3590,284,840,Java,"['Java', 'C++', 'Python', 'Go', 'TypeScript', 'Rust', 'JavaScript', 'C#', 'C', 'HTML']",6561.0,2018-09-16T14:03:03Z,Creative Commons Attribution Share Alike 4.0 International
ReactiveCocoa,19973,3562,838,1719,Swift,"['Swift', 'Shell', 'Ruby', 'Objective-C']",8656.0,2012-03-02T22:11:24Z,MIT License
flameshot,19972,1257,202,937,C++,"['C++', 'CMake', 'Shell', 'Python', 'Roff', 'C', 'Makefile', 'Nix']",1859.0,2017-05-10T19:44:51Z,GNU General Public License v3.0
Rectangle,19971,578,83,195,Swift,"['Swift', 'Ruby', 'Objective-C']",988.0,2019-06-21T21:34:53Z,Other
